fa_flight_id,heading,longitude,groundspeed,latitude,timestamp,altitude
AIQ311-1670716320-schedule-0614,209.0,100.59983,167.0,13.90399,2022-12-12 23:47:44+00:00,200.0
AIQ311-1670716320-schedule-0614,208.9375,100.59945375,166.9375,13.903303125,2022-12-12 23:47:45+00:00,237.5
AIQ311-1670716320-schedule-0614,208.875,100.5990775,166.875,13.90261625,2022-12-12 23:47:46+00:00,275.0
AIQ311-1670716320-schedule-0614,208.8125,100.59870125,166.8125,13.901929375,2022-12-12 23:47:47+00:00,312.5
AIQ311-1670716320-schedule-0614,208.75,100.598325,166.75,13.9012425,2022-12-12 23:47:48+00:00,350.0
AIQ311-1670716320-schedule-0614,208.6875,100.59794875,166.6875,13.900555625,2022-12-12 23:47:49+00:00,387.5
AIQ311-1670716320-schedule-0614,208.625,100.5975725,166.625,13.89986875,2022-12-12 23:47:50+00:00,425.0
AIQ311-1670716320-schedule-0614,208.5625,100.59719625,166.5625,13.899181875,2022-12-12 23:47:51+00:00,462.5
AIQ311-1670716320-schedule-0614,208.5,100.59682,166.5,13.898495,2022-12-12 23:47:52+00:00,500.0
AIQ311-1670716320-schedule-0614,208.4375,100.59644375,166.4375,13.897808125,2022-12-12 23:47:53+00:00,537.5
AIQ311-1670716320-schedule-0614,208.375,100.5960675,166.375,13.89712125,2022-12-12 23:47:54+00:00,575.0
AIQ311-1670716320-schedule-0614,208.3125,100.59569125,166.3125,13.896434375,2022-12-12 23:47:55+00:00,612.5
AIQ311-1670716320-schedule-0614,208.25,100.595315,166.25,13.8957475,2022-12-12 23:47:56+00:00,650.0
AIQ311-1670716320-schedule-0614,208.1875,100.59493875,166.1875,13.895060625,2022-12-12 23:47:57+00:00,687.5
AIQ311-1670716320-schedule-0614,208.125,100.5945625,166.125,13.89437375,2022-12-12 23:47:58+00:00,725.0
AIQ311-1670716320-schedule-0614,208.0625,100.59418625,166.0625,13.893686875,2022-12-12 23:47:59+00:00,762.5
