,timestamp,fa_flight_id,altitude,groundspeed,heading,latitude,longitude
0,2022-12-26 10:58:04,NOK578-1671879840-schedule-0913,6.0,171.0,210.0,13.89505,100.59506
1,2022-12-26 10:58:05,NOK578-1671879840-schedule-0913,6.3125,171.5625,210.0,13.894326249999999,100.59461125
2,2022-12-26 10:58:06,NOK578-1671879840-schedule-0913,6.625,172.125,210.0,13.8936025,100.59416250000001
3,2022-12-26 10:58:07,NOK578-1671879840-schedule-0913,6.9375,172.6875,210.0,13.89287875,100.59371375
4,2022-12-26 10:58:08,NOK578-1671879840-schedule-0913,7.25,173.25,210.0,13.892154999999999,100.593265
5,2022-12-26 10:58:09,NOK578-1671879840-schedule-0913,7.5625,173.8125,210.0,13.89143125,100.59281625
6,2022-12-26 10:58:10,NOK578-1671879840-schedule-0913,7.875,174.375,210.0,13.8907075,100.5923675
7,2022-12-26 10:58:11,NOK578-1671879840-schedule-0913,8.1875,174.9375,210.0,13.88998375,100.59191875
8,2022-12-26 10:58:12,NOK578-1671879840-schedule-0913,8.5,175.5,210.0,13.88926,100.59147
9,2022-12-26 10:58:13,NOK578-1671879840-schedule-0913,8.8125,176.0625,210.0,13.88853625,100.59102125
10,2022-12-26 10:58:14,NOK578-1671879840-schedule-0913,9.125,176.625,210.0,13.8878125,100.59057250000001
11,2022-12-26 10:58:15,NOK578-1671879840-schedule-0913,9.4375,177.1875,210.0,13.88708875,100.59012375
12,2022-12-26 10:58:16,NOK578-1671879840-schedule-0913,9.75,177.75,210.0,13.886365000000001,100.589675
13,2022-12-26 10:58:17,NOK578-1671879840-schedule-0913,10.0625,178.3125,210.0,13.88564125,100.58922625
14,2022-12-26 10:58:18,NOK578-1671879840-schedule-0913,10.375,178.875,210.0,13.8849175,100.58877749999999
15,2022-12-26 10:58:19,NOK578-1671879840-schedule-0913,10.6875,179.4375,210.0,13.884193750000001,100.58832875
16,2022-12-26 10:58:20,NOK578-1671879840-schedule-0913,11.0,180.0,210.0,13.88347,100.58788
17,2022-12-26 10:58:21,NOK578-1671879840-schedule-0913,11.4375,180.25,210.1875,13.882759375000001,100.587470625
18,2022-12-26 10:58:22,NOK578-1671879840-schedule-0913,11.875,180.5,210.375,13.882048750000001,100.58706125
19,2022-12-26 10:58:23,NOK578-1671879840-schedule-0913,12.3125,180.75,210.5625,13.881338125000001,100.586651875
20,2022-12-26 10:58:24,NOK578-1671879840-schedule-0913,12.75,181.0,210.75,13.880627500000001,100.5862425
21,2022-12-26 10:58:25,NOK578-1671879840-schedule-0913,13.1875,181.25,210.9375,13.879916875000001,100.585833125
22,2022-12-26 10:58:26,NOK578-1671879840-schedule-0913,13.625,181.5,211.125,13.879206250000001,100.58542374999999
23,2022-12-26 10:58:27,NOK578-1671879840-schedule-0913,14.0625,181.75,211.3125,13.878495625000001,100.585014375
24,2022-12-26 10:58:28,NOK578-1671879840-schedule-0913,14.5,182.0,211.5,13.877785,100.584605
25,2022-12-26 10:58:29,NOK578-1671879840-schedule-0913,14.9375,182.25,211.6875,13.877074375,100.58419562499999
26,2022-12-26 10:58:30,NOK578-1671879840-schedule-0913,15.375,182.5,211.875,13.87636375,100.58378625
27,2022-12-26 10:58:31,NOK578-1671879840-schedule-0913,15.8125,182.75,212.0625,13.875653125,100.583376875
